variable,level,cyclops,meniscus,pvalue,smd
n,,49,20,,
age_at_trauma,median [IQR],30.9 [22.5–37.0],24.9 [19.8–31.2],0.084,+0.49
imc,median [IQR],24.4 [22.0–26.4],24.8 [23.0–26.8],0.615,-0.08
taille,median [IQR],1.7 [1.6–1.8],1.7 [1.7–1.8],0.272,-0.25
poids,median [IQR],70.0 [63.0–81.0],76.5 [65.0–83.0],0.340,-0.19
sexe,1,18 (36.7%),11 (55.0%),0.188,+0.37
sexe,2,31 (63.3%),9 (45.0%),,
pivot_pivot_contact,0,4 (8.2%),4 (20.0%),0.060,
pivot_pivot_contact,1,27 (55.1%),5 (25.0%),,
pivot_pivot_contact,2,18 (36.7%),11 (55.0%),,
travail_physique,0,38 (77.6%),13 (65.0%),0.366,-0.28
travail_physique,1,11 (22.4%),7 (35.0%),,
tabac,0,44 (89.8%),17 (85.0%),0.682,-0.14
tabac,1,5 (10.2%),3 (15.0%),,
